AssA,DetA,HOTA,IDF1,IDSW,MOTA,accepted_correct,accepted_false,accepted_unknown,component_rejections,method,modality,predicted_boxes,sequence,split,tracker,valid_gt_boxes
67.01376991691687,85.13564116635533,75.42892236212398,80.6941431670282,3,97.76632302405498,0,4,0,0,controlled_cost_partial_hungarian,ir,1141,M3OT/2/ir/test/2-03T,held_out,bytetrack,1164
84.78442921071648,94.67353951890031,89.59264484023326,88.70255957634599,3,94.41580756013745,0,0,0,0,no_refinement,ir,1102,M3OT/2/ir/test/2-03T,held_out,ocsort,1164
81.64731217941753,94.67353951890031,87.91950884889019,86.49602824360106,3,94.41580756013745,0,2,0,0,historical_geometry_first_reciprocal,ir,1102,M3OT/2/ir/test/2-03T,held_out,ocsort,1164
81.64731217941753,94.67353951890031,87.91950884889019,86.49602824360106,3,94.41580756013745,0,2,0,0,controlled_cost_greedy,ir,1102,M3OT/2/ir/test/2-03T,held_out,ocsort,1164
81.64731217941753,94.67353951890031,87.91950884889019,86.49602824360106,3,94.41580756013745,0,2,0,0,controlled_cost_reciprocal,ir,1102,M3OT/2/ir/test/2-03T,held_out,ocsort,1164
81.64731217941753,94.67353951890031,87.91950884889019,86.49602824360106,3,94.41580756013745,0,2,0,0,controlled_cost_partial_hungarian,ir,1102,M3OT/2/ir/test/2-03T,held_out,ocsort,1164
93.90163417070467,91.97510464213116,92.85009044178017,99.2675570874623,0,98.54576561163387,0,0,0,0,no_refinement,rgb,1152,M3OT/2/rgb/test/2-03,held_out,bytetrack,1169
89.36293224612128,91.97510464213116,90.5867848964285,95.8207669108143,0,98.54576561163387,0,1,0,0,historical_geometry_first_reciprocal,rgb,1152,M3OT/2/rgb/test/2-03,held_out,bytetrack,1169
89.36293224612128,91.97510464213116,90.5867848964285,95.8207669108143,0,98.54576561163387,0,1,0,0,controlled_cost_greedy,rgb,1152,M3OT/2/rgb/test/2-03,held_out,bytetrack,1169
89.36293224612128,91.97510464213116,90.5867848964285,95.8207669108143,0,98.54576561163387,0,1,0,0,controlled_cost_reciprocal,rgb,1152,M3OT/2/rgb/test/2-03,held_out,bytetrack,1169
89.36293224612128,91.97510464213116,90.5867848964285,95.8207669108143,0,98.54576561163387,0,1,0,0,controlled_cost_partial_hungarian,rgb,1152,M3OT/2/rgb/test/2-03,held_out,bytetrack,1169
95.77428452952107,95.7228400342173,95.74855882680927,97.8146853146853,0,95.72284003421728,0,0,0,0,no_refinement,rgb,1119,M3OT/2/rgb/test/2-03,held_out,ocsort,1169
95.77428452952107,95.7228400342173,95.74855882680927,97.8146853146853,0,95.72284003421728,0,0,0,0,historical_geometry_first_reciprocal,rgb,1119,M3OT/2/rgb/test/2-03,held_out,ocsort,1169
95.77428452952107,95.7228400342173,95.74855882680927,97.8146853146853,0,95.72284003421728,0,0,0,0,controlled_cost_greedy,rgb,1119,M3OT/2/rgb/test/2-03,held_out,ocsort,1169
95.77428452952107,95.7228400342173,95.74855882680927,97.8146853146853,0,95.72284003421728,0,0,0,0,controlled_cost_reciprocal,rgb,1119,M3OT/2/rgb/test/2-03,held_out,ocsort,1169
95.77428452952107,95.7228400342173,95.74855882680927,97.8146853146853,0,95.72284003421728,0,0,0,0,controlled_cost_partial_hungarian,rgb,1119,M3OT/2/rgb/test/2-03,held_out,ocsort,1169
