AssA,DetA,HOTA,IDF1,IDSW,MOTA,method,scene_group,stream_count,tracker
93.10017001335893,97.78455785020219,95.39161299502905,94.98824014205294,13,97.68304690324932,regr_final_motion_always,02,4,ocsort
93.10017001335893,97.78455785020219,95.39161299502905,94.98824014205294,13,97.68304690324932,regr_final_no_gap,02,4,ocsort
92.93131753625079,97.78455785020219,95.30239933672614,95.01671966171294,7,97.7302239744946,regr_final_no_motion,02,4,ocsort
93.10017001335893,97.78455785020219,95.39161299502905,94.98824014205294,13,97.68304690324932,regr_final_no_reciprocal,02,4,ocsort
92.93131753625079,97.78455785020219,95.30239933672614,95.01671966171294,7,97.7302239744946,regr_t,02,4,ocsort
96.4684407810279,97.78455785020219,97.12069078683193,97.95061930428825,5,97.74618821459677,regr_tg_old,02,4,ocsort
96.46165470152772,97.78455785020219,97.11727448901087,97.95061930428825,5,97.74618821459677,s2_h_cond_w3_endpoint_c50_r100,02,4,ocsort
97.3530910526335,96.57509833809259,96.9538337214686,99.80170776351316,0,99.60416959363583,geometry_greedy,04,4,bytetrack
97.3530910526335,96.57509833809259,96.9538337214686,99.80170776351316,0,99.60416959363583,geometry_reid_greedy,04,4,bytetrack
97.3530910526335,96.57509833809259,96.9538337214686,99.80170776351316,0,99.60416959363583,no_refinement,04,4,bytetrack
97.3530910526335,96.57509833809259,96.9538337214686,99.80170776351316,0,99.60416959363583,partial_hungarian_u080,04,4,bytetrack
97.3530910526335,96.57509833809259,96.9538337214686,99.80170776351316,0,99.60416959363583,partial_hungarian_u100,04,4,bytetrack
97.3530910526335,96.57509833809259,96.9538337214686,99.80170776351316,0,99.60416959363583,regr_final,04,4,bytetrack
97.3530910526335,96.57509833809259,96.9538337214686,99.80170776351316,0,99.60416959363583,regr_final_motion_always,04,4,bytetrack
97.3530910526335,96.57509833809259,96.9538337214686,99.80170776351316,0,99.60416959363583,regr_final_no_gap,04,4,bytetrack
97.3530910526335,96.57509833809259,96.9538337214686,99.80170776351316,0,99.60416959363583,regr_final_no_motion,04,4,bytetrack
97.3530910526335,96.57509833809259,96.9538337214686,99.80170776351316,0,99.60416959363583,regr_final_no_reciprocal,04,4,bytetrack
97.3530910526335,96.57509833809259,96.9538337214686,99.80170776351316,0,99.60416959363583,regr_t,04,4,bytetrack
97.3530910526335,96.57509833809259,96.9538337214686,99.80170776351316,0,99.60416959363583,regr_tg_old,04,4,bytetrack
97.3530910526335,96.57509833809259,96.9538337214686,99.80170776351316,0,99.60416959363583,s2_h_cond_w3_endpoint_c50_r100,04,4,bytetrack
98.87699958683643,98.86113831275499,98.86906861592811,99.42729264415246,0,98.86113831275497,geometry_greedy,04,4,ocsort
98.87699958683643,98.86113831275499,98.86906861592811,99.42729264415246,0,98.86113831275497,geometry_reid_greedy,04,4,ocsort
98.87699958683643,98.86113831275499,98.86906861592811,99.42729264415246,0,98.86113831275497,no_refinement,04,4,ocsort
98.87699958683643,98.86113831275499,98.86906861592811,99.42729264415246,0,98.86113831275497,partial_hungarian_u080,04,4,ocsort
98.87699958683643,98.86113831275499,98.86906861592811,99.42729264415246,0,98.86113831275497,partial_hungarian_u100,04,4,ocsort
98.87699958683643,98.86113831275499,98.86906861592811,99.42729264415246,0,98.86113831275497,regr_final,04,4,ocsort
98.87699958683643,98.86113831275499,98.86906861592811,99.42729264415246,0,98.86113831275497,regr_final_motion_always,04,4,ocsort
98.87699958683643,98.86113831275499,98.86906861592811,99.42729264415246,0,98.86113831275497,regr_final_no_gap,04,4,ocsort
98.87699958683643,98.86113831275499,98.86906861592811,99.42729264415246,0,98.86113831275497,regr_final_no_motion,04,4,ocsort
98.87699958683643,98.86113831275499,98.86906861592811,99.42729264415246,0,98.86113831275497,regr_final_no_reciprocal,04,4,ocsort
98.87699958683643,98.86113831275499,98.86906861592811,99.42729264415246,0,98.86113831275497,regr_t,04,4,ocsort
98.87699958683643,98.86113831275499,98.86906861592811,99.42729264415246,0,98.86113831275497,regr_tg_old,04,4,ocsort
98.87699958683643,98.86113831275499,98.86906861592811,99.42729264415246,0,98.86113831275497,s2_h_cond_w3_endpoint_c50_r100,04,4,ocsort
90.83556438783593,93.51029201846323,92.05781629175884,97.21654769238503,8,99.54377828779637,geometry_greedy,05,4,bytetrack
89.70617679303662,93.51029201846323,91.43133544029781,96.47325349869766,9,99.53840771851603,geometry_reid_greedy,05,4,bytetrack
88.6863288891773,93.51029201846323,90.84996961274042,94.82627533569385,17,99.49553501733739,no_refinement,05,4,bytetrack
93.19464337385354,93.51029201846323,93.30788857113903,98.64927418166653,3,99.57063113419808,partial_hungarian_u080,05,4,bytetrack
93.19464337385354,93.51029201846323,93.30788857113903,98.64927418166653,3,99.57063113419808,partial_hungarian_u100,05,4,bytetrack
89.70617679303662,93.51029201846323,91.43133544029781,96.47325349869766,9,99.53840771851603,regr_final,05,4,bytetrack
