class_name,component_guard_rejections,family,guard_and_no_guard_outputs_identical,input_duplicate_frame_identity_count,maximum_indegree,maximum_outdegree,proposal_cycle_present,protocol,reciprocal_proposal_count,sequence,strict_time_order_violations,temporal_candidate_count,tracker
pedestrian,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,deepocsort
van,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,bytetrack
van,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,ocsort
van,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,deepocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,bytetrack
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,3,ocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,3,deepocsort
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,bytetrack
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,ocsort
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,deepocsort
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,bytetrack
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,ocsort
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,deepocsort
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,bytetrack
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,ocsort
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,deepocsort
car,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,9,bytetrack
car,0,legacy12,True,0,1,1,False,official_detector,4,data28-5,0,48,ocsort
car,0,legacy12,True,0,1,1,False,official_detector,4,data28-5,0,48,deepocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,0,bytetrack
bike,0,legacy12,True,0,1,1,False,official_detector,2,data28-5,0,3,ocsort
bike,0,legacy12,True,0,1,1,False,official_detector,2,data28-5,0,3,deepocsort
pedestrian,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,0,bytetrack
pedestrian,0,legacy12,True,0,1,1,False,official_detector,2,data28-5,0,5,ocsort
pedestrian,0,legacy12,True,0,1,1,False,official_detector,1,data28-5,0,4,deepocsort
van,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,0,bytetrack
van,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,0,ocsort
van,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,0,deepocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,0,bytetrack
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,1,ocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,1,deepocsort
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,0,bytetrack
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,0,ocsort
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,0,deepocsort
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,0,bytetrack
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,0,ocsort
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,0,deepocsort
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,0,bytetrack
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,0,ocsort
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-5,0,0,deepocsort
car,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,bytetrack
car,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,ocsort
car,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,deepocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,bytetrack
bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,ocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,deepocsort
pedestrian,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,bytetrack
pedestrian,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,ocsort
pedestrian,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,deepocsort
van,0,legacy12,True,0,1,1,False,official_detector,1,data28-6,0,11,bytetrack
van,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,5,ocsort
van,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,deepocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,1,bytetrack
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,ocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,deepocsort
bus,0,legacy12,True,0,1,1,False,official_detector,1,data28-6,0,18,bytetrack
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,2,ocsort
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,3,deepocsort
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,bytetrack
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,ocsort
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,deepocsort
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,bytetrack
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,ocsort
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-6,0,0,deepocsort
car,0,legacy12,True,0,1,1,False,official_detector,21,data30-10,0,2190,bytetrack
car,0,legacy12,True,0,1,1,False,official_detector,23,data30-10,0,1640,ocsort
car,0,legacy12,True,0,1,1,False,official_detector,4,data30-10,0,700,deepocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data30-10,0,0,bytetrack
bike,0,legacy12,True,0,0,0,False,official_detector,0,data30-10,0,0,ocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data30-10,0,0,deepocsort
