AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_unknown,aggregation,all_accepted_coverage,eligible_source_tracklets,input_rows,invalid_sequences,known_link_coverage,known_link_error_rate,method,output_rows,predicted_boxes,protocol,scope,sequence_count,tracker,valid_common_box_protocol,valid_gt_boxes
84.92117463909231,81.59777481616376,22130,0,2155,82.79092364194439,83.96232010864976,1185,80.88851283929907,174064,747,448,0,equal_sequence_mean_metrics_total_counts,0.33020171318043656,3619,174064,0,0.33020171318043656,0.37489539748953976,controlled_cost_greedy,174064,174064,oracle_aabb,all_sequences,50,deepocsort,True,196194
84.98931450535052,81.60083851569897,22130,0,2155,82.82981516437705,84.01956192515274,1242,80.8509038736609,174064,704,287,0,equal_sequence_mean_metrics_total_counts,0.27383255042829513,3619,174064,0,0.27383255042829513,0.289606458123108,controlled_cost_reciprocal,174064,174064,oracle_aabb,all_sequences,50,deepocsort,True,196194
84.52381021823876,81.59909382336268,22130,0,2155,82.58391605328,83.6933549454696,1294,80.85773863919069,174064,628,585,0,equal_sequence_mean_metrics_total_counts,0.3351754628350373,3619,174064,0,0.3351754628350373,0.482275350370981,geometry_greedy,174064,174064,oracle_aabb,all_sequences,50,deepocsort,True,196194
84.98119156832203,81.60091796007326,22130,0,2155,82.82336450858664,83.99334285590943,1149,80.9019466975286,174064,792,411,0,equal_sequence_mean_metrics_total_counts,0.33241226858248135,3619,174064,0,0.33241226858248135,0.341645885286783,geometry_reid_greedy_guard,174064,174064,oracle_aabb,all_sequences,50,deepocsort,True,196194
84.92829381404248,81.60026881092,22130,0,2155,82.79455875979602,84.00150888501939,1174,80.89268790675872,174064,765,418,0,equal_sequence_mean_metrics_total_counts,0.32688588007736946,3619,174064,0,0.32688588007736946,0.3533389687235841,geometry_reid_hungarian,174064,174064,oracle_aabb,all_sequences,50,deepocsort,True,196194
82.06275997135361,81.60219151010966,22130,0,2155,81.32105008043304,81.48609392004403,1962,80.27084974644677,174064,0,0,0,equal_sequence_mean_metrics_total_counts,0.0,3619,174064,0,0.0,,no_refinement,174064,174064,oracle_aabb,all_sequences,50,deepocsort,True,196194
51.883228596350506,40.933215968932885,105739,0,3875,45.118825439394485,43.320981841683164,6082,37.42681740859034,90455,39,28,0,equal_sequence_mean_metrics_total_counts,0.009924455636202045,6751,90458,3,0.009924455636202045,0.417910447761194,aflink_cached_native_dedup,90455,90455,oracle_aabb,all_sequences,50,ocsort,False,196194
51.883228596350506,40.933215968932885,105739,0,3875,45.118825439394485,43.320981841683164,6082,37.42681740859034,90455,39,28,0,equal_sequence_mean_metrics_total_counts,0.009924455636202045,6751,90458,27,0.009924455636202045,0.417910447761194,aflink_cached_native_saved,90455,90455,oracle_aabb,all_sequences,50,ocsort,False,196194
51.88286363778836,40.93420451167579,105736,0,3875,45.119111006214816,43.320981841683164,6082,37.42780620379708,90458,39,28,0,equal_sequence_mean_metrics_total_counts,0.009924455636202045,6751,90458,3,0.009924455636202045,0.417910447761194,aflink_cached_no_dedup,90458,90458,oracle_aabb,all_sequences,50,ocsort,False,196194
51.91934674425183,40.93420451167579,105736,0,3875,45.137819910108526,43.32956772478262,6082,37.42780620379708,90458,39,25,0,equal_sequence_mean_metrics_total_counts,0.009480077025625833,6751,90458,0,0.009480077025625833,0.390625,aflink_cached_overlap_safe,90458,90458,oracle_aabb,all_sequences,50,ocsort,True,196194
