updated_at,scenario,step,status,artifact,note
"2026-06-25T08:52:34+09:00","S0","detector","ok","outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001/detector_smoke_summary.json","EvidenceTokens generated"
"2026-06-25T08:52:41+09:00","S0","reasoner","started","outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_mock","3D evidence graph + AeroGraph Reasoner"
"2026-06-25T08:52:43+09:00","S0","reasoner","ok","outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_mock/summary.json","Reasoner output generated"
"2026-06-25T08:52:50+09:00","S1","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_session_recapture","viewer160 real Cesium capture"
"2026-06-25T08:53:20+09:00","S1","capture","ok","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_session_recapture/real_cesium_capture_summary.json","real Cesium viewer160 capture complete"
"2026-06-25T08:53:26+09:00","S1","detector","started","outputs/evidence/uavmarine_s1_viewer160_session_recapture_detector_smoke_conf001","P2P4-SelfAttnFR EvidenceToken extraction"
"2026-06-25T08:53:36+09:00","S1","detector","ok","outputs/evidence/uavmarine_s1_viewer160_session_recapture_detector_smoke_conf001/detector_smoke_summary.json","EvidenceTokens generated"
"2026-06-25T08:53:43+09:00","S1","reasoner","started","outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_mock","3D evidence graph + AeroGraph Reasoner"
"2026-06-25T08:53:46+09:00","S1","reasoner","ok","outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_mock/summary.json","Reasoner output generated"
"2026-06-25T08:53:52+09:00","S2","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_session_recapture","viewer160 real Cesium capture"
"2026-06-25T08:54:26+09:00","S2","capture","ok","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_session_recapture/real_cesium_capture_summary.json","real Cesium viewer160 capture complete"
"2026-06-25T08:54:34+09:00","S2","detector","started","outputs/evidence/uavmarine_s2_viewer160_session_recapture_detector_smoke_conf001","P2P4-SelfAttnFR EvidenceToken extraction"
"2026-06-25T08:54:43+09:00","S2","detector","ok","outputs/evidence/uavmarine_s2_viewer160_session_recapture_detector_smoke_conf001/detector_smoke_summary.json","EvidenceTokens generated"
"2026-06-25T08:54:51+09:00","S2","reasoner","started","outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_mock","3D evidence graph + AeroGraph Reasoner"
"2026-06-25T08:54:53+09:00","S2","reasoner","ok","outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_mock/summary.json","Reasoner output generated"
"2026-06-25T08:56:43+09:00","S0","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture","viewer160 real Cesium capture"
"2026-06-25T08:57:10+09:00","S0","capture","ok","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture_summary.json","real Cesium viewer160 capture complete"
"2026-06-25T08:57:17+09:00","S0","detector","started","outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001","P2P4-SelfAttnFR EvidenceToken extraction"
"2026-06-25T08:57:26+09:00","S0","detector","ok","outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001/detector_smoke_summary.json","EvidenceTokens generated"
"2026-06-25T08:57:33+09:00","S0","reasoner","started","outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_mock","3D evidence graph + AeroGraph Reasoner"
"2026-06-25T08:57:35+09:00","S0","reasoner","ok","outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_mock/summary.json","Reasoner output generated"
"2026-06-25T08:57:42+09:00","S1","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_session_recapture","viewer160 real Cesium capture"
"2026-06-25T08:58:09+09:00","S1","capture","ok","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_session_recapture/real_cesium_capture_summary.json","real Cesium viewer160 capture complete"
"2026-06-25T08:58:16+09:00","S1","detector","started","outputs/evidence/uavmarine_s1_viewer160_session_recapture_detector_smoke_conf001","P2P4-SelfAttnFR EvidenceToken extraction"
"2026-06-25T08:58:25+09:00","S1","detector","ok","outputs/evidence/uavmarine_s1_viewer160_session_recapture_detector_smoke_conf001/detector_smoke_summary.json","EvidenceTokens generated"
"2026-06-25T08:58:32+09:00","S1","reasoner","started","outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_mock","3D evidence graph + AeroGraph Reasoner"
"2026-06-25T08:58:34+09:00","S1","reasoner","ok","outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_mock/summary.json","Reasoner output generated"
"2026-06-25T08:58:41+09:00","S2","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_session_recapture","viewer160 real Cesium capture"
"2026-06-25T08:59:09+09:00","S2","capture","ok","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_session_recapture/real_cesium_capture_summary.json","real Cesium viewer160 capture complete"
"2026-06-25T08:59:16+09:00","S2","detector","started","outputs/evidence/uavmarine_s2_viewer160_session_recapture_detector_smoke_conf001","P2P4-SelfAttnFR EvidenceToken extraction"
"2026-06-25T08:59:26+09:00","S2","detector","ok","outputs/evidence/uavmarine_s2_viewer160_session_recapture_detector_smoke_conf001/detector_smoke_summary.json","EvidenceTokens generated"
"2026-06-25T08:59:34+09:00","S2","reasoner","started","outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_mock","3D evidence graph + AeroGraph Reasoner"
"2026-06-25T08:59:36+09:00","S2","reasoner","ok","outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_mock/summary.json","Reasoner output generated"
"2026-06-25T19:19:56+09:00","S0","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture","viewer160 real Cesium capture"
"2026-06-25T19:22:21+09:00","S0","capture","ok","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture_summary.json","real Cesium viewer160 capture complete"
"2026-06-25T19:22:29+09:00","S0","detector","started","outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001","P2P4-SelfAttnFR EvidenceToken extraction"
"2026-06-25T19:22:39+09:00","S0","detector","ok","outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001/detector_smoke_summary.json","EvidenceTokens generated"
"2026-06-25T19:22:46+09:00","S0","reasoner","started","outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_mock","3D evidence graph + AeroGraph Reasoner"
"2026-06-25T19:22:49+09:00","S0","reasoner","ok","outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_mock/summary.json","Reasoner output generated"
"2026-06-25T19:22:56+09:00","S1","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_session_recapture","viewer160 real Cesium capture"
"2026-06-25T19:23:28+09:00","S1","capture","ok","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_session_recapture/real_cesium_capture_summary.json","real Cesium viewer160 capture complete"
"2026-06-25T19:23:35+09:00","S1","detector","started","outputs/evidence/uavmarine_s1_viewer160_session_recapture_detector_smoke_conf001","P2P4-SelfAttnFR EvidenceToken extraction"
