protocol,family,sequence,tracker,method,metric,stored_value,rerun_value,absolute_difference,passed
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,accepted_unknown,2.0,2.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,eligible_source_tracklets,46.0,46.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,input_rows,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,output_rows,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,valid_gt_boxes,3966.0,3966.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,predicted_boxes,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,HOTA,72.3382298599702,72.3382298599702,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,AssA,81.35745929371548,81.35745929371548,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,DetA,64.37387562275049,64.37387562275049,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,IDF1,84.68314862176754,84.68314862176754,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,MOTA,73.19717599596571,73.19717599596571,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,IDSW,9.0,9.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,FP,80.0,80.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,FN,974.0,974.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,TP,2992.0,2992.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,Frag,36.0,36.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,accepted_correct,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,accepted_false,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,accepted_unknown,4.0,4.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,eligible_source_tracklets,46.0,46.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,input_rows,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,output_rows,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,valid_gt_boxes,3966.0,3966.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_greedy,predicted_boxes,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,HOTA,72.39122842742036,72.39122842742036,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,AssA,81.47728564877784,81.47728564877784,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,DetA,64.37387562275049,64.37387562275049,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,IDF1,84.68314862176754,84.68314862176754,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,MOTA,73.19717599596571,73.19717599596571,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,IDSW,9.0,9.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,FP,80.0,80.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,FN,974.0,974.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,TP,2992.0,2992.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,Frag,36.0,36.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,accepted_correct,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,accepted_false,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,accepted_unknown,2.0,2.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,eligible_source_tracklets,46.0,46.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,input_rows,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,output_rows,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,valid_gt_boxes,3966.0,3966.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,predicted_boxes,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,HOTA,72.38223864903833,72.38223864903833,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,AssA,81.45639407826081,81.45639407826081,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,DetA,64.37387562275049,64.37387562275049,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,IDF1,84.68314862176754,84.68314862176754,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,MOTA,73.19717599596571,73.19717599596571,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,IDSW,9.0,9.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,FP,80.0,80.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,FN,974.0,974.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,TP,2992.0,2992.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,Frag,36.0,36.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,accepted_correct,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,accepted_false,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,accepted_unknown,2.0,2.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,eligible_source_tracklets,46.0,46.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,input_rows,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,output_rows,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,valid_gt_boxes,3966.0,3966.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,geometry_reid_hungarian,predicted_boxes,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,HOTA,72.44663515881318,72.44663515881318,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,AssA,81.6014044831045,81.6014044831045,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,DetA,64.37387562275049,64.37387562275049,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,IDF1,84.68314862176754,84.68314862176754,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,MOTA,73.19717599596571,73.19717599596571,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,IDSW,9.0,9.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,FP,80.0,80.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,FN,974.0,974.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,TP,2992.0,2992.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,Frag,36.0,36.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,accepted_correct,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,accepted_false,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,accepted_unknown,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,eligible_source_tracklets,46.0,46.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,input_rows,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,output_rows,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,valid_gt_boxes,3966.0,3966.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,no_refinement,predicted_boxes,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,ocsort,com3d_reciprocal_guard,HOTA,21.70516861070939,21.70516861070939,0.0,True
