accepted_correct,accepted_false,accepted_link_error_rate,accepted_link_precision,accepted_unknown,all_accepted_coverage,eligible_source_tracklets,known_link_coverage,method,parameter,scope,threshold,tracker,valid_output
374,119,0.2413793103448276,0.7586206896551724,0,0.13622547665100856,3619,0.13622547665100856,geometry_reid_hungarian,appearance_cosine,all_sequences,0.05,deepocsort,True
600,245,0.28994082840236685,0.7100591715976331,0,0.23348991434097818,3619,0.23348991434097818,geometry_reid_hungarian,appearance_cosine,all_sequences,0.1,deepocsort,True
696,333,0.3236151603498542,0.6763848396501457,0,0.28433268858800775,3619,0.28433268858800775,geometry_reid_hungarian,appearance_cosine,all_sequences,0.15,deepocsort,True
731,374,0.3384615384615385,0.6615384615384615,0,0.305332964907433,3619,0.305332964907433,geometry_reid_hungarian,appearance_cosine,all_sequences,0.2,deepocsort,True
757,402,0.3468507333908542,0.6531492666091459,0,0.32025421387123515,3619,0.32025421387123515,geometry_reid_hungarian,appearance_cosine,all_sequences,0.25,deepocsort,True
765,418,0.3533389687235841,0.6466610312764159,0,0.32688588007736946,3619,0.32688588007736946,geometry_reid_hungarian,appearance_cosine,all_sequences,0.3,deepocsort,True
17,23,0.575,0.425,0,0.011052777010223818,3619,0.011052777010223818,aflink_official,aflink_cost,all_sequences,0.01,deepocsort,True
27,40,0.5970149253731343,0.40298507462686567,0,0.018513401492124895,3619,0.018513401492124895,aflink_official,aflink_cost,all_sequences,0.025,deepocsort,False
45,70,0.6086956521739131,0.391304347826087,0,0.03177673390439348,3619,0.03177673390439348,aflink_official,aflink_cost,all_sequences,0.05,deepocsort,False
68,124,0.6458333333333334,0.3541666666666667,0,0.05305332964907433,3619,0.05305332964907433,aflink_official,aflink_cost,all_sequences,0.1,deepocsort,False
103,197,0.6566666666666666,0.3433333333333333,0,0.08289582757667864,3619,0.08289582757667864,aflink_official,aflink_cost,all_sequences,0.2,deepocsort,False
166,320,0.6584362139917695,0.34156378600823045,0,0.1342912406742194,3619,0.1342912406742194,aflink_official,aflink_cost,all_sequences,0.4,deepocsort,False
