protocol,family,sequence,class_name,tracker,input_tracklets,fixed_candidate_edges,table4_method,table4_ranking,table4_accepted_edges,d16_method,d16_ranking,d16_accepted_edges,table4_vs_d16_edge_sets_identical,table4_vs_d16_final_partitions_identical,cost_g_method,cost_g_accepted_edges,cost_g_vs_d16_edge_sets_identical,cost_g_vs_d16_final_partitions_identical
official_detector,confirmation38,data24-1,van,bytetrack,8,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data24-1,van,deepocsort,5,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data24-1,van,ocsort,7,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,awning-bike,bytetrack,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,awning-bike,deepocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,awning-bike,ocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,bike,bytetrack,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,bike,deepocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,bike,ocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,bus,bytetrack,1,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,bus,deepocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,bus,ocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,car,bytetrack,9,5,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",3,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",2,False,False,controlled_cost_greedy,3,False,False
official_detector,confirmation38,data27-1,car,deepocsort,4,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,car,ocsort,5,1,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",1,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",1,True,True,controlled_cost_greedy,1,True,True
official_detector,confirmation38,data27-1,pedestrian,bytetrack,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,pedestrian,deepocsort,1,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,pedestrian,ocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,tricycle,bytetrack,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
