protocol,family,sequence,tracker,base_solver,base_method,reassignment_method,tau_a,tau_m,audit_label,base_edges,postfilter_edges,reassigned_edges,base_correct_rejected_by_verifier,base_false_removed_by_verifier,base_unresolved_rejected_by_verifier,reassignment_added_correct,reassignment_added_false,reassignment_added_unresolved,reassignment_dropped_postfilter_correct,reassignment_dropped_postfilter_false,reassignment_dropped_postfilter_unresolved,stored_H_postfilter_exact
official_detector,confirmation38,data37-11,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,52,47,49,0,1,4,0,0,2,0,0,0,True
official_detector,confirmation38,data37-11,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,49,48,48,0,0,1,0,0,0,0,0,0,N/A
official_detector,confirmation38,data37-12,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,11,11,11,0,0,0,0,0,0,0,0,0,True
official_detector,confirmation38,data37-12,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,11,11,11,0,0,0,0,0,0,0,0,0,N/A
official_detector,confirmation38,data37-12,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,2,1,1,0,0,1,0,0,0,0,0,0,True
official_detector,confirmation38,data37-12,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,2,1,1,0,0,1,0,0,0,0,0,0,N/A
official_detector,confirmation38,data37-12,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,11,10,10,0,0,1,0,0,0,0,0,0,True
official_detector,confirmation38,data37-12,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,11,10,10,0,0,1,0,0,0,0,0,0,N/A
official_detector,confirmation38,data37-2,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,155,103,119,0,0,52,0,1,23,0,0,8,True
official_detector,confirmation38,data37-2,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,145,116,118,0,0,29,0,0,2,0,0,0,N/A
official_detector,confirmation38,data37-2,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,23,19,19,0,0,4,0,0,0,0,0,0,True
official_detector,confirmation38,data37-2,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,23,19,19,0,0,4,0,0,0,0,0,0,N/A
official_detector,confirmation38,data37-2,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,144,104,113,0,1,39,0,1,16,0,0,8,True
official_detector,confirmation38,data37-2,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,138,108,111,0,0,30,0,0,3,0,0,0,N/A
official_detector,confirmation38,data39-1,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,14,8,9,0,0,6,0,0,1,0,0,0,True
official_detector,confirmation38,data39-1,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,13,9,9,0,0,4,0,0,0,0,0,0,N/A
official_detector,confirmation38,data39-1,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,5,5,5,0,0,0,0,0,0,0,0,0,True
official_detector,confirmation38,data39-1,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,5,5,5,0,0,0,0,0,0,0,0,0,N/A
