adapter_input_detections,class_name,dataset,descriptor_eligible_output_boxes_iou_ge_0_9,descriptor_eligible_track_ids,duplicate_frame_identity_count,evaluated_gt_boxes,evaluated_prediction_boxes,family,frames_with_gt,released_frames,saved_output,saved_output_sha256,score_gate_admitted_detections,sequence,tracker,tracker_output_boxes,tracker_output_track_ids,tracker_runtime_seconds,valid_gt_boxes,zero_gt_frames
1801,pedestrian,MMOT,102,81,0,1801,102,data30,50,50,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-2/pedestrian/ocsort.jsonl.gz,57e5194fe63cdd734ca6b50fb6bb2cdd27270fc22b4c5a68d85aa718cb65ba0f,1801,data30-2,ocsort,102,81,1.3690009638667107,1801,0
121,van,MMOT,28,10,0,121,103,data30,50,50,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-2/van/bytetrack.jsonl.gz,3dac71c9cf91fe1d8499365689406b33ad453b91f5e57de09d54cf6449211ce3,121,data30-2,bytetrack,103,15,0.04162732418626547,121,0
121,van,MMOT,69,13,0,121,69,data30,50,50,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-2/van/ocsort.jsonl.gz,2f0a07b9f121ab2b562c38e02a7e57acf6ab4a6f7ab9eca08d76b2c6e0d15dd5,121,data30-2,ocsort,69,13,0.05412196088582277,121,0
66,bus,MMOT,24,2,0,66,66,data30,50,50,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-2/bus/bytetrack.jsonl.gz,94a1d477b5e6b6710744b7f3a0bdcded00aa78e293d934844c541187e1306961,66,data30-2,bytetrack,66,2,0.027578210458159447,66,0
66,bus,MMOT,64,2,0,66,64,data30,50,50,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-2/bus/ocsort.jsonl.gz,cd9f20d7ea2307b8784ce8b8939fa6a6915859e09be3133ae78a1606056663d6,66,data30-2,ocsort,64,2,0.026062309741973877,66,0
137,tricycle,MMOT,24,12,0,137,89,data30,50,50,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-2/tricycle/bytetrack.jsonl.gz,f91a7be092d3884282fca3a679320ac4b14a09b743034ae5cf7a9a6e1b3982b4,137,data30-2,bytetrack,89,17,0.045211564749479294,137,0
137,tricycle,MMOT,40,13,0,137,40,data30,50,50,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-2/tricycle/ocsort.jsonl.gz,e596e2966bfad8365f27ce5461cef82613abe8a0add86195351207168908a1d9,137,data30-2,ocsort,40,13,0.07326670177280903,137,0
280,awning-bike,MMOT,24,19,0,280,138,data30,50,50,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-2/awning-bike/bytetrack.jsonl.gz,adb68b2c0c3d6838d26b99de850844a74b54f95c16e738e63af3f6fb98cad7d5,280,data30-2,bytetrack,138,44,0.07293943595141172,280,0
280,awning-bike,MMOT,39,23,0,280,39,data30,50,50,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-2/awning-bike/ocsort.jsonl.gz,f7a2a5a85803c809c08a0376f05674410b59ee1138e6faa9c4beca9d3630775a,280,data30-2,ocsort,39,23,0.16493147797882557,280,0
1537,car,MMOT,287,95,0,1537,1355,data30,36,36,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-3/car/bytetrack.jsonl.gz,b75bb55dc2052a34c92d12a3e1ceea985d9748f65f16a7c5f2d5e066a5e2f21a,1537,data30-3,bytetrack,1355,135,0.213756388053298,1537,0
1537,car,MMOT,886,147,0,1537,886,data30,36,36,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-3/car/ocsort.jsonl.gz,949da0aec9fb9ffa49b3268710da06629313eb3c40e761083ca3654d7d62a4ad,1537,data30-3,ocsort,886,147,0.4047236815094948,1537,0
199,bike,MMOT,15,10,0,199,74,data30,36,36,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-3/bike/bytetrack.jsonl.gz,c0d79ec26da38390e9febe31eaf2980abcae9c0b48b6283114e578095196b1e2,199,data30-3,bytetrack,74,33,0.051307784393429756,199,0
199,bike,MMOT,26,25,0,199,26,data30,36,36,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-3/bike/ocsort.jsonl.gz,47431ef80a5598b88e0e834d6a4d950df34bcbea2dd5505f611f5b12911ed572,199,data30-3,ocsort,26,25,0.1227540960535407,199,0
1534,pedestrian,MMOT,68,64,0,1534,325,data30,36,36,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-3/pedestrian/bytetrack.jsonl.gz,193777bde5cfacf24ba8fa1f009d9bc6f3c1c0faa649fad40f6e4faa6ed16ddd,1534,data30-3,bytetrack,325,217,0.21901888400316238,1534,0
1534,pedestrian,MMOT,144,139,0,1534,144,data30,36,36,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-3/pedestrian/ocsort.jsonl.gz,55f1825bdc0fdfe23940d087218559ce86f28207aca267ddc57f86f976f168ff,1534,data30-3,ocsort,144,139,1.0431810300797224,1534,0
