absolute_difference,metric,new_method,passed,protocol,rerun_value,stored_method,stored_value,tracker
0.0,TP,no_refinement,True,official_detector,91818,no_refinement,91818,bytetrack
0.0,Frag,no_refinement,True,official_detector,7690,no_refinement,7690,bytetrack
0.0,accepted_correct,no_refinement,True,official_detector,0,no_refinement,0,bytetrack
0.0,accepted_false,no_refinement,True,official_detector,0,no_refinement,0,bytetrack
0.0,accepted_unknown,no_refinement,True,official_detector,0,no_refinement,0,bytetrack
0.0,eligible_source_tracklets,no_refinement,True,official_detector,8538,no_refinement,8538,bytetrack
0.0,HOTA,ace_v1,True,official_detector,35.39909653851582,com3d_reciprocal_guard,35.39909653851582,bytetrack
0.0,AssA,ace_v1,True,official_detector,43.754992136797625,com3d_reciprocal_guard,43.754992136797625,bytetrack
0.0,DetA,ace_v1,True,official_detector,30.955724665701783,com3d_reciprocal_guard,30.955724665701783,bytetrack
0.0,IDF1,ace_v1,True,official_detector,39.967401330532766,com3d_reciprocal_guard,39.967401330532766,bytetrack
0.0,MOTA,ace_v1,True,official_detector,29.61374190453957,com3d_reciprocal_guard,29.61374190453957,bytetrack
0.0,IDSW,ace_v1,True,official_detector,8935,com3d_reciprocal_guard,8935,bytetrack
0.0,FP,ace_v1,True,official_detector,12727,com3d_reciprocal_guard,12727,bytetrack
0.0,FN,ace_v1,True,official_detector,104376,com3d_reciprocal_guard,104376,bytetrack
0.0,TP,ace_v1,True,official_detector,91818,com3d_reciprocal_guard,91818,bytetrack
0.0,Frag,ace_v1,True,official_detector,7690,com3d_reciprocal_guard,7690,bytetrack
0.0,accepted_correct,ace_v1,True,official_detector,97,com3d_reciprocal_guard,97,bytetrack
0.0,accepted_false,ace_v1,True,official_detector,41,com3d_reciprocal_guard,41,bytetrack
0.0,accepted_unknown,ace_v1,True,official_detector,2796,com3d_reciprocal_guard,2796,bytetrack
0.0,eligible_source_tracklets,ace_v1,True,official_detector,8538,com3d_reciprocal_guard,8538,bytetrack
0.0,HOTA,cost_r,True,official_detector,35.53279714304084,controlled_cost_reciprocal,35.53279714304084,bytetrack
0.0,AssA,cost_r,True,official_detector,44.02559361147374,controlled_cost_reciprocal,44.02559361147374,bytetrack
0.0,DetA,cost_r,True,official_detector,30.955244678149878,controlled_cost_reciprocal,30.955244678149878,bytetrack
0.0,IDF1,cost_r,True,official_detector,40.42213108370916,controlled_cost_reciprocal,40.42213108370916,bytetrack
0.0,MOTA,cost_r,True,official_detector,29.804180675357088,controlled_cost_reciprocal,29.804180675357088,bytetrack
0.0,IDSW,cost_r,True,official_detector,8491,controlled_cost_reciprocal,8491,bytetrack
0.0,FP,cost_r,True,official_detector,12727,controlled_cost_reciprocal,12727,bytetrack
0.0,FN,cost_r,True,official_detector,104376,controlled_cost_reciprocal,104376,bytetrack
0.0,TP,cost_r,True,official_detector,91818,controlled_cost_reciprocal,91818,bytetrack
0.0,Frag,cost_r,True,official_detector,7690,controlled_cost_reciprocal,7690,bytetrack
0.0,accepted_correct,cost_r,True,official_detector,106,controlled_cost_reciprocal,106,bytetrack
0.0,accepted_false,cost_r,True,official_detector,35,controlled_cost_reciprocal,35,bytetrack
0.0,accepted_unknown,cost_r,True,official_detector,3033,controlled_cost_reciprocal,3033,bytetrack
0.0,eligible_source_tracklets,cost_r,True,official_detector,8538,controlled_cost_reciprocal,8538,bytetrack
0.0,HOTA,cost_g_legacy,True,official_detector,35.75822617012022,controlled_cost_greedy,35.75822617012022,bytetrack
0.0,AssA,cost_g_legacy,True,official_detector,44.40712850341626,controlled_cost_greedy,44.40712850341626,bytetrack
0.0,DetA,cost_g_legacy,True,official_detector,30.956398267303403,controlled_cost_greedy,30.956398267303403,bytetrack
0.0,IDF1,cost_g_legacy,True,official_detector,40.973999059387516,controlled_cost_greedy,40.973999059387516,bytetrack
0.0,MOTA,cost_g_legacy,True,official_detector,30.19491531703129,controlled_cost_greedy,30.19491531703129,bytetrack
0.0,IDSW,cost_g_legacy,True,official_detector,7604,controlled_cost_greedy,7604,bytetrack
0.0,FP,cost_g_legacy,True,official_detector,12727,controlled_cost_greedy,12727,bytetrack
0.0,FN,cost_g_legacy,True,official_detector,104376,controlled_cost_greedy,104376,bytetrack
0.0,TP,cost_g_legacy,True,official_detector,91818,controlled_cost_greedy,91818,bytetrack
0.0,Frag,cost_g_legacy,True,official_detector,7690,controlled_cost_greedy,7690,bytetrack
0.0,accepted_correct,cost_g_legacy,True,official_detector,119,controlled_cost_greedy,119,bytetrack
0.0,accepted_false,cost_g_legacy,True,official_detector,45,controlled_cost_greedy,45,bytetrack
0.0,accepted_unknown,cost_g_legacy,True,official_detector,4173,controlled_cost_greedy,4173,bytetrack
0.0,eligible_source_tracklets,cost_g_legacy,True,official_detector,8538,controlled_cost_greedy,8538,bytetrack
0.0,HOTA,cost_h,True,official_detector,35.57788558011366,geometry_reid_hungarian,35.57788558011366,bytetrack
0.0,AssA,cost_h,True,official_detector,44.10538812617762,geometry_reid_hungarian,44.10538812617762,bytetrack
0.0,DetA,cost_h,True,official_detector,30.95569739495098,geometry_reid_hungarian,30.95569739495098,bytetrack
0.0,IDF1,cost_h,True,official_detector,40.56301056770218,geometry_reid_hungarian,40.56301056770218,bytetrack
0.0,MOTA,cost_h,True,official_detector,29.84725948798606,geometry_reid_hungarian,29.84725948798606,bytetrack
0.0,IDSW,cost_h,True,official_detector,8405,geometry_reid_hungarian,8405,bytetrack
