atomic_context,class_name,controlled_cost,controlled_cost_in_rank,controlled_cost_out_rank,controlled_greedy_accepted,controlled_reciprocal_accepted,controlled_reciprocal_proposed,cosine_distance,destination_choice_count_across_methods,destination_conflict,destination_gt_purity,destination_majority_gt_identity,earlier,endpoint_center_distance_pixels,endpoint_top_left_distance_pixels,enters_fixed_candidate_graph,family,gap,geometry_first_in_rank,geometry_first_out_rank,historical_reciprocal_accepted,historical_reciprocal_proposed,later,partial_hungarian_selected,passes_appearance_gate,passes_geometry_gate,posthoc_gt_correctness,protocol,selected_methods,selection_count,sequence,source_choice_count_across_methods,source_conflict,source_gt_purity,source_majority_gt_identity,tracker
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.4086316252880931,1,1,True,True,True,0.28128862380981445,2,True,1.0,22,394,12.187970474069383,11.800446000935741,True,legacy12,2,1,1,True,True,488,False,True,True,false,oracle_aabb,ACE-v1;Cost-G;Cost-R,3,data28-1,2,True,0.7,43,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.46893886218977904,1,2,True,False,False,0.2084895372390747,1,False,,,394,26.318497100816504,27.03380427840378,True,legacy12,7,1,2,False,False,505,True,True,True,unknown,oracle_aabb,Cost-G;Cost-H,2,data28-1,2,True,0.7,43,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.43439807090351473,2,1,False,False,False,0.1747574806213379,2,True,1.0,22,401,23.136810251834646,22.791503613346105,True,legacy12,9,2,1,False,False,488,True,True,True,false,oracle_aabb,Cost-H,1,data28-1,1,False,0.625,25,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.710626678545193,3,1,False,False,False,0.2832561135292053,2,True,,,435,41.48978114626921,50.81820664660886,True,legacy12,13,1,1,True,True,566,False,True,True,unknown,oracle_aabb,ACE-v1,1,data28-1,1,False,1.0,53,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.4890322688600084,1,1,True,True,True,0.1850915551185608,1,False,0.5,43,477,44.9235392568319,40.66796860659618,True,legacy12,1,1,2,False,False,504,True,True,True,false,oracle_aabb,Cost-G;Cost-H;Cost-R,3,data28-1,2,True,0.5,25,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.663323501470837,2,2,False,False,False,0.2931785583496094,2,True,,,477,35.532308711926376,36.48957232377129,True,legacy12,11,1,1,True,True,532,False,True,True,unknown,oracle_aabb,ACE-v1,1,data28-1,2,True,0.5,25,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.5214006669704015,1,1,True,True,True,0.17203974723815918,2,True,,,486,50.82382305645373,51.61180008025546,True,legacy12,2,3,1,False,False,566,True,True,True,unknown,oracle_aabb,Cost-G;Cost-H;Cost-R,3,data28-1,1,False,1.0,56,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.5283324969950499,1,2,True,False,False,0.2548391819000244,1,False,,,504,36.78767865584542,36.33408627139238,True,legacy12,2,1,1,True,True,555,True,True,True,unknown,oracle_aabb,ACE-v1;Cost-G;Cost-H,3,data28-1,2,True,0.5,43,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.4809430524419189,1,1,True,True,True,0.1308588981628418,2,True,,,504,38.86480565639561,30.106941591132234,True,legacy12,9,1,2,False,False,571,False,True,True,unknown,oracle_aabb,Cost-G;Cost-R,2,data28-1,2,True,0.5,43,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.611672920570561,1,1,True,True,True,0.23954802751541138,2,True,,,505,47.842226849650466,47.913368766226235,True,legacy12,5,2,1,False,False,532,True,True,True,unknown,oracle_aabb,Cost-G;Cost-H;Cost-R,3,data28-1,1,False,,,bytetrack
