a_only,a_only_correct,a_only_false,analysis,auditable_fraction,b_only,b_only_correct,b_only_false,conditional_precision,correct,edge_count,false,family,intersection,jaccard,method_a,method_b,note,posthoc_gt_correctness,protocol,tracker,union,unknown
,,,selection_signature,,,,,,,5,,all_sequences,,,ACE-v1,N/A,,false,official_detector,deepocsort,,
,,,selection_signature,,,,,,,98,,all_sequences,,,ACE-v1,N/A,,unknown,official_detector,deepocsort,,
,,,selection_signature,,,,,,,13,,all_sequences,,,ACE-v1+Cost-G,N/A,,unknown,official_detector,deepocsort,,
,,,selection_signature,,,,,,,19,,all_sequences,,,ACE-v1+Cost-G+Cost-H,N/A,,unknown,official_detector,deepocsort,,
,,,selection_signature,,,,,,,42,,all_sequences,,,ACE-v1+Cost-G+Cost-H+Cost-R,N/A,,correct,official_detector,deepocsort,,
,,,selection_signature,,,,,,,15,,all_sequences,,,ACE-v1+Cost-G+Cost-H+Cost-R,N/A,,false,official_detector,deepocsort,,
,,,selection_signature,,,,,,,500,,all_sequences,,,ACE-v1+Cost-G+Cost-H+Cost-R,N/A,,unknown,official_detector,deepocsort,,
,,,selection_signature,,,,,,,23,,all_sequences,,,ACE-v1+Cost-G+Cost-R,N/A,,unknown,official_detector,deepocsort,,
,,,selection_signature,,,,,,,20,,all_sequences,,,ACE-v1+Cost-H,N/A,,unknown,official_detector,deepocsort,,
,,,selection_signature,,,,,,,2,,all_sequences,,,ACE-v1+Cost-H+Cost-R,N/A,,unknown,official_detector,deepocsort,,
,,,selection_signature,,,,,,,1,,all_sequences,,,Cost-G,N/A,,false,official_detector,deepocsort,,
,,,selection_signature,,,,,,,55,,all_sequences,,,Cost-G,N/A,,unknown,official_detector,deepocsort,,
,,,selection_signature,,,,,,,60,,all_sequences,,,Cost-G+Cost-H,N/A,,unknown,official_detector,deepocsort,,
,,,selection_signature,,,,,,,4,,all_sequences,,,Cost-G+Cost-H+Cost-R,N/A,,correct,official_detector,deepocsort,,
,,,selection_signature,,,,,,,3,,all_sequences,,,Cost-G+Cost-H+Cost-R,N/A,,false,official_detector,deepocsort,,
,,,selection_signature,,,,,,,137,,all_sequences,,,Cost-G+Cost-H+Cost-R,N/A,,unknown,official_detector,deepocsort,,
,,,selection_signature,,,,,,,1,,all_sequences,,,Cost-G+Cost-R,N/A,,correct,official_detector,deepocsort,,
,,,selection_signature,,,,,,,1,,all_sequences,,,Cost-G+Cost-R,N/A,,false,official_detector,deepocsort,,
,,,selection_signature,,,,,,,23,,all_sequences,,,Cost-G+Cost-R,N/A,,unknown,official_detector,deepocsort,,
,,,selection_signature,,,,,,,4,,all_sequences,,,Cost-H,N/A,,false,official_detector,deepocsort,,
,,,selection_signature,,,,,,,80,,all_sequences,,,Cost-H,N/A,,unknown,official_detector,deepocsort,,
,,,selection_signature,,,,,,,1,,all_sequences,,,Cost-H+Cost-R,N/A,,unknown,official_detector,deepocsort,,
,,,oracle_union_upper_bound_not_deployable,,,,,,,47,,all_sequences,,,any_linker_correct_edge,N/A,Post-hoc GT upper bound only; never scored as a deployable method.,,official_detector,deepocsort,,
,,,method_summary,0.09365079365079365,,,,0.6779661016949152,40,630,19,confirmation38,,,ACE-v1,N/A,,,official_detector,deepocsort,,571
,,,method_summary,0.09813084112149532,,,,0.7142857142857143,45,642,18,confirmation38,,,Cost-R,N/A,,,official_detector,deepocsort,,579
,,,method_summary,0.08184143222506395,,,,0.703125,45,782,19,confirmation38,,,Cost-G,N/A,,,official_detector,deepocsort,,718
,,,method_summary,0.082687338501292,,,,0.6875,44,774,20,confirmation38,,,Cost-H,N/A,,,official_detector,deepocsort,,710
142,0,5,pairwise_edge_selection,,154,5,4,,,,,confirmation38,488,0.6224489795918368,ACE-v1,Cost-R,,,official_detector,deepocsort,784,
221,,,pairwise_component_co_membership,,260,,,,,,,confirmation38,620,0.5631244323342416,ACE-v1,Cost-R,,,official_detector,deepocsort,1101,
113,0,5,pairwise_edge_selection,,265,5,5,,,,,confirmation38,517,0.5776536312849162,ACE-v1,Cost-G,,,official_detector,deepocsort,895,
166,,,pairwise_component_co_membership,,611,,,,,,,confirmation38,675,0.46487603305785125,ACE-v1,Cost-G,,,official_detector,deepocsort,1452,
126,0,5,pairwise_edge_selection,,270,4,6,,,,,confirmation38,504,0.56,ACE-v1,Cost-H,,,official_detector,deepocsort,900,
171,,,pairwise_component_co_membership,,530,,,,,,,confirmation38,670,0.4886943836615609,ACE-v1,Cost-H,,,official_detector,deepocsort,1371,
3,0,0,pairwise_edge_selection,,143,0,1,,,,,confirmation38,639,0.8140127388535032,Cost-R,Cost-G,,,official_detector,deepocsort,785,
7,,,pairwise_component_co_membership,,413,,,,,,,confirmation38,873,0.6751740139211136,Cost-R,Cost-G,,,official_detector,deepocsort,1293,
46,1,1,pairwise_edge_selection,,178,0,3,,,,,confirmation38,596,0.7268292682926829,Cost-R,Cost-H,,,official_detector,deepocsort,820,
78,,,pairwise_component_co_membership,,398,,,,,,,confirmation38,802,0.6275430359937402,Cost-R,Cost-H,,,official_detector,deepocsort,1278,
112,1,2,pairwise_edge_selection,,104,0,3,,,,,confirmation38,670,0.7562076749435666,Cost-G,Cost-H,,,official_detector,deepocsort,886,
