AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_links,accepted_unknown,all_box_multisets_preserved,component_rejections,duplicate_frame_identity_count,method,sequence_tracker_units,solver_seconds,split,tau_a,tau_m,tie_ambiguous,tie_excluded_correct,tie_excluded_false
95.86601368518669,96.26877734879501,658,4,40,96.05151387093113,98.62667774494392,11,98.73181880167306,53852,28,5,36,3,True,0,0,cost_h_motion_reassign,8,1.654323659837246,development,0.05,4.0,0,28,5
95.651220143925,96.26877734879501,658,4,40,95.94404552406786,98.47438893369247,11,98.73181880167306,53852,28,6,37,3,True,0,0,cost_h_motion_reassign,8,1.5601682486012578,development,0.05,8.0,0,28,6
95.48004085073362,96.26877734879501,658,4,40,95.85520070339288,98.20474641619188,21,98.71529629718859,53852,19,0,20,1,True,0,0,cost_h_motion_reassign,8,1.6558721363544464,development,0.1,1.0,0,19,0
95.81481622276345,96.26877734879501,658,4,40,96.02565676294697,98.5066630849872,16,98.72387926915273,53852,23,5,31,3,True,0,0,cost_h_motion_reassign,8,1.565256817266345,development,0.1,2.0,0,23,5
95.86601368518669,96.26877734879501,658,4,40,96.05151387093113,98.62667774494392,11,98.73181880167306,53852,28,5,36,3,True,0,0,cost_h_motion_reassign,8,1.6492792125791311,development,0.1,4.0,0,28,5
95.651220143925,96.26877734879501,658,4,40,95.94404552406786,98.47438893369247,11,98.73181880167306,53852,28,6,37,3,True,0,0,cost_h_motion_reassign,8,1.5661617340520024,development,0.1,8.0,0,28,6
95.59045717919227,96.26877734879501,658,4,40,95.91347098211071,98.45209309982828,13,98.72864298866492,53852,26,8,37,3,True,0,0,cost_h_soft_information,8,1.7399644190445542,development,N/A,N/A,0,26,8
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,0,cost_r,8,1.6179808154702187,development,N/A,N/A,0,20,10
93.41397802603404,96.26877734879501,658,4,40,94.79429362357376,96.49131411115339,41,98.67667187944281,53852,0,0,0,0,True,0,0,no_refinement,8,0.0,development,N/A,N/A,0,0,0
95.42433206347212,96.26877734879501,658,4,40,95.82974609333036,98.3731752008435,19,98.7165417918653,53852,20,12,35,3,True,0,0,path_g,8,1.629515797831118,development,N/A,N/A,0,20,12
95.37680765304191,96.26877734879501,658,4,40,95.80357829369656,98.14184799689441,25,98.70637091339708,53852,15,0,16,1,True,0,0,path_g_full_reassign,8,1.5561329266056418,development,0.0,1.0,0,15,0
95.70548364903001,96.26877734879501,658,4,40,95.97097647048588,98.44376466568973,20,98.71495388536123,53852,19,6,28,3,True,0,0,path_g_full_reassign,8,1.6316546211019158,development,0.0,2.0,0,19,6
95.65534678615788,96.26877734879501,658,4,40,95.9457589221558,98.52546401209496,19,98.7165417918653,53852,20,9,32,3,True,0,0,path_g_full_reassign,8,1.5464023491367698,development,0.0,4.0,0,20,9
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,0,path_g_full_reassign,8,1.721096470952034,development,0.0,8.0,0,20,10
95.41050912876061,96.26877734879501,658,4,40,95.82037793537845,98.16200386897181,24,98.70860225934496,53852,16,0,17,1,True,0,0,path_g_full_reassign,8,1.7331477971747518,development,0.05,1.0,0,16,0
