AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_coverage,accepted_false,accepted_unknown,aggregation,all_box_multisets_preserved,auditable_fraction,conditional_error,duplicate_frame_identity_count,eligible_source_tracklets,method,predicted_boxes,protocol,scope,sequence_count,tie_ambiguous,tie_excluded_correct,tie_excluded_false,tracker,valid_gt_boxes
67.95981114416139,45.10467822175788,72677,12281,4881,54.364663953920335,64.18457558730768,950,50.1163424437894,123517,46,0.2546309908850338,20,800,equal_sequence_mean_metrics_total_counts,True,0.07621247113163972,0.30303030303030304,0,3401,cost_h_soft_information,135798,official_detector,all_50_sequences,50,2,44,20,deepocsort,196194
68.00037386274005,45.10392361297611,72677,12281,4881,54.382300189572945,64.2299275991616,979,50.10637420594321,123517,47,0.2211114378124081,19,686,equal_sequence_mean_metrics_total_counts,True,0.08776595744680851,0.2878787878787879,0,3401,cost_r,135798,official_detector,all_50_sequences,50,2,45,19,deepocsort,196194
67.00430350974733,45.10679268381039,72677,12281,4881,53.91984765086411,63.08515652334443,1370,49.776326938471676,123517,0,0.0,0,0,equal_sequence_mean_metrics_total_counts,True,N/A,N/A,0,3401,no_refinement,135798,official_detector,all_50_sequences,50,0,0,0,deepocsort,196194
67.95635425950935,45.1048334367238,72677,12281,4881,54.363109819526564,64.17207969544218,963,50.11194908478394,123517,47,0.24992649220817406,20,783,equal_sequence_mean_metrics_total_counts,True,0.07882352941176471,0.29850746268656714,0,3401,path_g,135798,official_detector,all_50_sequences,50,2,45,20,deepocsort,196194
67.97958238303376,45.104620998695744,72677,12281,4881,54.371483413510035,64.22153214510105,989,50.101228170637114,123517,47,0.19347250808585711,18,593,equal_sequence_mean_metrics_total_counts,True,0.09878419452887538,0.27692307692307694,0,3401,path_g_full_reassign,135798,official_detector,all_50_sequences,50,2,45,18,deepocsort,196194
49.240326489503246,29.207952487358007,118476,7846,3323,36.53185303880642,38.08522975758765,3204,27.69874601054166,77718,173,0.3541306602143104,110,1766,equal_sequence_mean_metrics_total_counts,True,0.1381161542215715,0.38869257950530034,0,5786,ace_v1,85564,official_detector,all_50_sequences,50,11,172,100,ocsort,196194
50.03988266383189,29.207054596594425,118476,7846,3323,36.76063067301582,38.66034378646857,2635,28.034721419041926,77718,221,0.46128586242654684,121,2327,equal_sequence_mean_metrics_total_counts,True,0.1281378793555639,0.3538011695906433,0,5786,cost_g_legacy,85564,official_detector,all_50_sequences,50,19,217,106,ocsort,196194
49.96778136252241,29.207053545927838,118476,7846,3323,36.770673792906656,38.74189746024476,2668,28.063963991780906,77718,217,0.4535084687175942,109,2298,equal_sequence_mean_metrics_total_counts,True,0.12423780487804878,0.3343558282208589,0,5786,cost_h,85564,official_detector,all_50_sequences,50,17,212,97,ocsort,196194
49.734436057467455,29.20750554696744,118476,7846,3323,36.716628258918554,38.5801039328897,2830,27.946708241503508,77718,209,0.37867265814033874,90,1892,equal_sequence_mean_metrics_total_counts,True,0.13646736649931537,0.3010033444816054,0,5786,cost_h_full_postfilter,85564,official_detector,all_50_sequences,50,14,205,80,ocsort,196194
49.78855124979584,29.20750554696744,118476,7846,3323,36.72667641566868,38.5934446330848,2805,27.958590051374163,77718,211,0.3961285862426547,93,1988,equal_sequence_mean_metrics_total_counts,True,0.13263525305410123,0.3059210526315789,0,5786,cost_h_full_reassign,85564,official_detector,all_50_sequences,50,14,208,82,ocsort,196194
49.92641196509694,29.207845797013533,118476,7846,3323,36.765267107099945,38.70428711352629,2686,28.046571356580753,77718,214,0.4308676114759765,97,2182,equal_sequence_mean_metrics_total_counts,True,0.1247492980344966,0.31189710610932475,0,5786,cost_h_margin_reassign,85564,official_detector,all_50_sequences,50,15,210,86,ocsort,196194
49.994883658705795,29.207053545927838,118476,7846,3323,36.7813224064728,38.763765715981464,2668,28.06413417034706,77718,217,0.45160732803318354,104,2292,equal_sequence_mean_metrics_total_counts,True,0.12284730195177956,0.32398753894080995,0,5786,cost_h_motion_reassign,85564,official_detector,all_50_sequences,50,17,212,92,ocsort,196194
49.841649216343804,29.207929817828735,118476,7846,3323,36.72969260750203,38.652025269982914,2690,28.02377108171961,77718,211,0.44607673695126165,108,2262,equal_sequence_mean_metrics_total_counts,True,0.12359550561797752,0.3385579937304075,0,5786,cost_h_soft_information,85564,official_detector,all_50_sequences,50,16,206,97,ocsort,196194
