AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_unknown,box_preserving,class_instances,duplicate_frame_identity_count,duplicate_free,eligible_source_tracklets,family,input_rows,method,output_rows,predicted_boxes,protocol,sequence,tie_ambiguous,tie_excluded_correct,tie_excluded_false,tracker,valid_common_box_protocol,valid_gt_boxes
60.53542202478375,15.51155115511551,256,0,0,30.643079078870965,25.142857142857146,3,14.521452145214523,47,0,0,0,True,6,0,True,7,legacy12,47,cost_h_full_postfilter,47,47,oracle_aabb,data28-3,0,0,0,ocsort,True,303
60.53542202478375,15.51155115511551,256,0,0,30.643079078870965,25.142857142857146,3,14.521452145214523,47,0,0,0,True,6,0,True,7,legacy12,47,cost_h_full_reassign,47,47,oracle_aabb,data28-3,0,0,0,ocsort,True,303
60.53542202478375,15.51155115511551,256,0,0,30.643079078870965,25.142857142857146,3,14.521452145214523,47,0,0,0,True,6,0,True,7,legacy12,47,cost_h_soft_information,47,47,oracle_aabb,data28-3,0,0,0,ocsort,True,303
60.53542202478375,15.51155115511551,256,0,0,30.643079078870965,25.142857142857146,3,14.521452145214523,47,0,0,0,True,6,0,True,7,legacy12,47,path_g_full_reassign,47,47,oracle_aabb,data28-3,0,0,0,ocsort,True,303
48.539377289377285,7.9207920792079225,279,0,0,19.607914605163508,12.844036697247708,3,6.9306930693069315,24,0,0,0,True,6,0,True,5,legacy12,24,no_refinement,24,24,oracle_aabb,data28-3,0,0,0,deepocsort,True,303
48.539377289377285,7.9207920792079225,279,0,0,19.607914605163508,12.844036697247708,3,6.9306930693069315,24,0,0,0,True,6,0,True,5,legacy12,24,ace_v1,24,24,oracle_aabb,data28-3,0,0,0,deepocsort,True,303
48.539377289377285,7.9207920792079225,279,0,0,19.607914605163508,12.844036697247708,3,6.9306930693069315,24,0,0,0,True,6,0,True,5,legacy12,24,cost_r,24,24,oracle_aabb,data28-3,0,0,0,deepocsort,True,303
48.539377289377285,7.9207920792079225,279,0,0,19.607914605163508,12.844036697247708,3,6.9306930693069315,24,0,0,0,True,6,0,True,5,legacy12,24,cost_g_legacy,24,24,oracle_aabb,data28-3,0,0,0,deepocsort,True,303
48.539377289377285,7.9207920792079225,279,0,0,19.607914605163508,12.844036697247708,3,6.9306930693069315,24,0,0,0,True,6,0,True,5,legacy12,24,cost_h,24,24,oracle_aabb,data28-3,0,0,0,deepocsort,True,303
48.539377289377285,7.9207920792079225,279,0,0,19.607914605163508,12.844036697247708,3,6.9306930693069315,24,0,0,0,True,6,0,True,5,legacy12,24,path_g,24,24,oracle_aabb,data28-3,0,0,0,deepocsort,True,303
48.539377289377285,7.9207920792079225,279,0,0,19.607914605163508,12.844036697247708,3,6.9306930693069315,24,0,0,0,True,6,0,True,5,legacy12,24,cost_h_margin_reassign,24,24,oracle_aabb,data28-3,0,0,0,deepocsort,True,303
48.539377289377285,7.9207920792079225,279,0,0,19.607914605163508,12.844036697247708,3,6.9306930693069315,24,0,0,0,True,6,0,True,5,legacy12,24,cost_h_motion_reassign,24,24,oracle_aabb,data28-3,0,0,0,deepocsort,True,303
48.539377289377285,7.9207920792079225,279,0,0,19.607914605163508,12.844036697247708,3,6.9306930693069315,24,0,0,0,True,6,0,True,5,legacy12,24,cost_h_full_postfilter,24,24,oracle_aabb,data28-3,0,0,0,deepocsort,True,303
48.539377289377285,7.9207920792079225,279,0,0,19.607914605163508,12.844036697247708,3,6.9306930693069315,24,0,0,0,True,6,0,True,5,legacy12,24,cost_h_full_reassign,24,24,oracle_aabb,data28-3,0,0,0,deepocsort,True,303
48.539377289377285,7.9207920792079225,279,0,0,19.607914605163508,12.844036697247708,3,6.9306930693069315,24,0,0,0,True,6,0,True,5,legacy12,24,cost_h_soft_information,24,24,oracle_aabb,data28-3,0,0,0,deepocsort,True,303
48.539377289377285,7.9207920792079225,279,0,0,19.607914605163508,12.844036697247708,3,6.9306930693069315,24,0,0,0,True,6,0,True,5,legacy12,24,path_g_full_reassign,24,24,oracle_aabb,data28-3,0,0,0,deepocsort,True,303
23.99741792598935,4.519783994290178,218,0,0,10.273126410163782,6.557377049180328,4,3.896103896103896,13,0,0,0,True,5,0,True,6,legacy12,13,no_refinement,13,13,oracle_aabb,data28-4,0,0,0,bytetrack,True,231
23.784580777061972,4.519783994290178,218,0,0,10.22552835256771,6.557377049180328,4,3.896103896103896,13,0,0,1,True,5,0,True,6,legacy12,13,ace_v1,13,13,oracle_aabb,data28-4,0,0,0,bytetrack,True,231
23.784580777061972,4.519783994290178,218,0,0,10.22552835256771,6.557377049180328,4,3.896103896103896,13,0,0,1,True,5,0,True,6,legacy12,13,cost_r,13,13,oracle_aabb,data28-4,0,0,0,bytetrack,True,231
23.784580777061972,4.519783994290178,218,0,0,10.22552835256771,6.557377049180328,4,3.896103896103896,13,0,0,1,True,5,0,True,6,legacy12,13,cost_g_legacy,13,13,oracle_aabb,data28-4,0,0,0,bytetrack,True,231
